X,Y,OBJECTID,SIGN_RGN,SIGN_CNTY,SIGN_RTE,SIGN_TRVL_DRCTN,SIGN_PSTN,SIGN_LTTD,SIGN_LNGTD,MILE_MRKR_DSPL,MILE_MRKR_LABL,LAST_REFRESH_DATE
675620.9182,302038.4343,2142373,Southeast,Waukesha,IH 41,Northbound,Median,43.1750935,-88.08531405,50.4000015,IH 41 NB MP 50.4 [WAUKESHA],2025/08/09 05:00:00+00
677782.102,300052.501499999,2142374,Southeast,Milwaukee,IH 41,Northbound,Median,43.15677281,-88.0593048,48.5999985,IH 41 NB MP 48.6 [MILWAUKEE],2025/08/09 05:00:00+00
677793.2102,300040.935900001,2142375,Southeast,Milwaukee,IH 41,Southbound,Median,43.15666641,-88.05917154,48.5999985,IH 41 SB MP 48.6 [MILWAUKEE],2025/08/09 05:00:00+00
664104.4907,316170.5897,2142376,Southeast,Washington,IH 41,Northbound,Median,43.30457146,-88.22324414,62.4000015,IH 41 NB MP 62.4 [WASHINGTON],2025/08/09 05:00:00+00
656417.3548,325890.413699999,2142377,Southeast,Washington,IH 41,Southbound,Median,43.39348895,-88.31556426,70.1999969,IH 41 SB MP 70.2 [WASHINGTON],2025/08/09 05:00:00+00
656606.2818,325618.8061,2142378,Southeast,Washington,IH 41,Southbound,Right,43.39100995,-88.31330026,70,IH 41 SB MP 70.0 [WASHINGTON],2025/08/09 05:00:00+00
653304.6859,331572.685799999,2142379,Southeast,Washington,IH 41,Northbound,Right,43.44519294,-88.35259624,74.1999969,IH 41 NB MP 74.2 [WASHINGTON],2025/08/09 05:00:00+00
656954.7896,325038.456599999,2142380,Southeast,Washington,IH 41,Southbound,Median,43.38572295,-88.30914426,69.5999985,IH 41 SB MP 69.6 [WASHINGTON],2025/08/09 05:00:00+00
654253.6565,330240.280200001,2142381,Southeast,Washington,IH 41,Northbound,Right,43.43303094,-88.34120124,73.1999969,IH 41 NB MP 73.2 [WASHINGTON],2025/08/09 05:00:00+00
667260.7144,317460.522700001,2142382,Southeast,Washington,USH 45,Northbound,Right,43.31556995,-88.1840023,63,USH 45 NB MP 63.0 [WASHINGTON],2025/08/09 05:00:00+00
659158.3404,320933.3576,2142383,Southeast,Washington,IH 41,Northbound,Median,43.34836978,-88.28299371,66.5999985,IH 41 NB MP 66.6 [WASHINGTON],2025/08/09 05:00:00+00
674309.2905,302823.8232,2142384,Southeast,Waukesha,IH 41,Northbound,Median,43.18243076,-88.10122388,51.4000015,IH 41 NB MP 51.4 [WAUKESHA],2025/08/09 05:00:00+00
656785.3175,325348.2249,2142385,Southeast,Washington,IH 41,Southbound,Median,43.38854195,-88.31115826,69.8000031,IH 41 SB MP 69.8 [WASHINGTON],2025/08/09 05:00:00+00
653903.2999,330778.941500001,2142386,Southeast,Washington,IH 41,Northbound,Median,43.43794194,-88.34539624,73.5999985,IH 41 NB MP 73.6 [WASHINGTON],2025/08/09 05:00:00+00
663386.9478,316833.636,2142387,Southeast,Washington,IH 41,Southbound,Median,43.31067614,-88.23191402,63,IH 41 SB MP 63.0 [WASHINGTON],2025/08/09 05:00:00+00
662934.4455,317277.033600001,2142388,Southeast,Washington,IH 41,Northbound,Median,43.31475297,-88.23737581,63.4000015,IH 41 NB MP 63.4 [WASHINGTON],2025/08/09 05:00:00+00
660609.1341,319494.9713,2142389,Southeast,Washington,IH 41,Northbound,Median,43.33515362,-88.2654698,65.4000015,IH 41 NB MP 65.4 [WASHINGTON],2025/08/09 05:00:00+00
537397.4076,342503.898700001,2142390,Southwest,Sauk,USH 12,Eastbound,Right,43.555286,-89.784607,213,USH 12 EB MP 213.0 [SAUK],2025/08/09 05:00:00+00
556604.4928,339184.196599999,2142391,Southwest,Columbia,IH 90,Eastbound,Median,43.52470027,-89.54703805,104.199997,IH 90 EB MP 104.2 [COLUMBIA],2025/08/09 05:00:00+00
656045.8445,326422.549699999,2142392,Southeast,Washington,IH 41,Southbound,Median,43.39834595,-88.32001725,70.5999985,IH 41 SB MP 70.6 [WASHINGTON],2025/08/09 05:00:00+00
661771.2696,318365.9125,2142393,Southeast,Washington,IH 41,Southbound,On Ramp Right,43.32477341,-88.25143205,64.4000015,IH 41 SB MP 64.4 [WASHINGTON],2025/08/09 05:00:00+00
665008.7719,329722.1066,2142394,Southeast,Washington,USH 45,Southbound,Right,43.42636294,-88.20851328,71,USH 45 SB MP 71.0 [WASHINGTON],2025/08/09 05:00:00+00
689521.3083,285285.624199999,2142395,Southeast,Milwaukee,IH 43,Northbound,Median,43.02134624,-87.91950905,311.799988,IH 43 NB MP 311.8 [MILWAUKEE],2025/08/09 05:00:00+00
666354.0348,326941.038000001,2142396,Southeast,Washington,USH 45,Southbound,Right,43.40107194,-88.19264629,69,USH 45 SB MP 69.0 [WASHINGTON],2025/08/09 05:00:00+00
676846.2898,300920.1118,2142397,Southeast,Waukesha,IH 41,Northbound,Right,43.16477568,-88.07056295,49.4000015,IH 41 NB MP 49.4 [WAUKESHA],2025/08/09 05:00:00+00
676343.7411,301384.8169,2142398,Southeast,Waukesha,IH 41,Northbound,Median,43.16906197,-88.07661035,49.7999992,IH 41 NB MP 49.8 [WAUKESHA],2025/08/09 05:00:00+00
537214.7399,340945.0375,2142399,Southwest,Sauk,USH 12,Westbound,Right,43.541254,-89.786918,214,USH 12 WB MP 214.0 [SAUK],2025/08/09 05:00:00+00
654637.2365,329353.870200001,2142400,Southeast,Washington,IH 41,Northbound,Median,43.42498387,-88.33668235,72.5999985,IH 41 NB MP 72.6 [WASHINGTON],2025/08/09 05:00:00+00
660599.2462,319492.802999999,2142401,Southeast,Washington,IH 41,Southbound,Median,43.33513595,-88.26559228,65.4000015,IH 41 SB MP 65.4 [WASHINGTON],2025/08/09 05:00:00+00
666383.9429,325400.6832,2142402,Southeast,Washington,USH 45,Southbound,Right,43.38720294,-88.19268929,68,USH 45 SB MP 68.0 [WASHINGTON],2025/08/09 05:00:00+00
666425.5296,325403.695900001,2142403,Southeast,Washington,USH 45,Northbound,Right,43.38722194,-88.19217529,68,USH 45 NB MP 68.0 [WASHINGTON],2025/08/09 05:00:00+00
532945.2421,356728.6611,2142404,Southwest,Juneau,IH 90,Westbound,Median,43.6834574,-89.83938734,82.8000031,IH 90 WB MP 82.8 [JUNEAU],2025/08/09 05:00:00+00
655244.7006,327857.3532,2142405,Southeast,Washington,IH 41,Southbound,Median,43.41140494,-88.32955125,71.5999985,IH 41 SB MP 71.6 [WASHINGTON],2025/08/09 05:00:00+00
664869.7722,331265.1185,2142406,Southeast,Washington,USH 45,Southbound,Right,43.44027693,-88.20982028,72,USH 45 SB MP 72.0 [WASHINGTON],2025/08/09 05:00:00+00
675864.3683,301829.165100001,2142407,Southeast,Waukesha,IH 41,Northbound,Median,43.17315997,-88.08237935,50.2000008,IH 41 NB MP 50.2 [WAUKESHA],2025/08/09 05:00:00+00
656057.828,326426.902000001,2142408,Southeast,Washington,IH 41,Northbound,Median,43.39838295,-88.31986825,70.5999985,IH 41 NB MP 70.6 [WASHINGTON],2025/08/09 05:00:00+00
660812.9933,319297.004899999,2142409,Southeast,Washington,IH 41,Northbound,Median,43.33333368,-88.26300696,65.1999969,IH 41 NB MP 65.2 [WASHINGTON],2025/08/09 05:00:00+00
666560.2574,322225.176200001,2142410,Southeast,Washington,USH 45,Southbound,Right,43.35858895,-88.1913633,66,USH 45 SB MP 66.0 [WASHINGTON],2025/08/09 05:00:00+00
653703.7489,331043.406199999,2142411,Southeast,Washington,IH 41,Northbound,Median,43.44035794,-88.34779624,73.8000031,IH 41 NB MP 73.8 [WASHINGTON],2025/08/09 05:00:00+00
661544.0848,318596.8281,2142412,Southeast,Washington,IH 41,Northbound,Median,43.32689453,-88.25417328,64.5999985,IH 41 NB MP 64.6 [WASHINGTON],2025/08/09 05:00:00+00
666601.1881,322233.174699999,2142413,Southeast,Washington,USH 45,Northbound,Right,43.35865295,-88.1908563,66,USH 45 NB MP 66.0 [WASHINGTON],2025/08/09 05:00:00+00
537175.4768,340944.7149,2142414,Southwest,Sauk,USH 12,Eastbound,Right,43.541252,-89.787404,214,USH 12 EB MP 214.0 [SAUK],2025/08/09 05:00:00+00
556913.2814,339104.509500001,2142415,Southwest,Columbia,IH 90,Westbound,Median,43.52396757,-89.54322249,104.400002,IH 90 WB MP 104.4 [COLUMBIA],2025/08/09 05:00:00+00
556287.2368,339294.927100001,2142416,Southwest,Columbia,IH 90,Eastbound,Median,43.52571278,-89.55095642,104,IH 90 EB MP 104.0 [COLUMBIA],2025/08/09 05:00:00+00
555978.5425,339400.853499999,2142417,Southwest,Columbia,IH 90,Eastbound,Median,43.52668147,-89.55476929,103.800003,IH 90 EB MP 103.8 [COLUMBIA],2025/08/09 05:00:00+00
658147.6047,322801.986400001,2142418,Southeast,Washington,IH 41,Northbound,Median,43.36537495,-88.29498827,68,IH 41 NB MP 68.0 [WASHINGTON],2025/08/09 05:00:00+00
654758.5853,329045.6873,2142419,Southeast,Washington,IH 41,Southbound,Median,43.42218823,-88.33525985,72.4000015,IH 41 SB MP 72.4 [WASHINGTON],2025/08/09 05:00:00+00
666292.2829,323803.1434,2142420,Southeast,Washington,USH 45,Southbound,Right,43.37284294,-88.19424729,67,USH 45 SB MP 67.0 [WASHINGTON],2025/08/09 05:00:00+00
666332.7861,323804.242699999,2142421,Southeast,Washington,USH 45,Northbound,Right,43.37284494,-88.19374729,67,USH 45 NB MP 67.0 [WASHINGTON],2025/08/09 05:00:00+00
665265.7595,328140.9713,2142422,Southeast,Washington,USH 45,Southbound,Right,43.41208294,-88.20576029,70,USH 45 SB MP 70.0 [WASHINGTON],2025/08/09 05:00:00+00
688769.7581,313224.588400001,2142423,Southeast,Ozaukee,IH 43,Southbound,Median,43.27293454,-87.92021657,89,IH 43 SB MP 89.0 [OZAUKEE],2025/08/09 05:00:00+00
558455.554,338066.8698,2142424,Southwest,Columbia,IH 90,Westbound,Median,43.51454687,-89.52421194,105.599998,IH 90 WB MP 105.6 [COLUMBIA],2025/08/09 05:00:00+00
662228.714,317946.454299999,2142425,Southeast,Washington,IH 41,Northbound,Median,43.32091176,-88.24590131,64,IH 41 NB MP 64.0 [WASHINGTON],2025/08/09 05:00:00+00
661314.427,318804.2927,2142426,Southeast,Washington,IH 41,Southbound,Median,43.32880499,-88.25695121,64.8000031,IH 41 SB MP 64.8 [WASHINGTON],2025/08/09 05:00:00+00
661094.0872,319028.549799999,2142427,Southeast,Washington,IH 41,Northbound,Median,43.33086477,-88.25961013,65,IH 41 NB MP 65.0 [WASHINGTON],2025/08/09 05:00:00+00
673729.0173,303153.9944,2142428,Southeast,Waukesha,IH 41,Northbound,Median,43.18552052,-88.10826854,51.7999992,IH 41 NB MP 51.8 [WAUKESHA],2025/08/09 05:00:00+00
666384.9779,326952.4868,2142429,Southeast,Washington,USH 45,Northbound,Right,43.40116894,-88.19226129,69,USH 45 NB MP 69.0 [WASHINGTON],2025/08/09 05:00:00+00
675429.7758,302171.536900001,2142430,Southeast,Waukesha,IH 41,Southbound,Median,43.17633072,-88.0876271,50.5999985,IH 41 SB MP 50.6 [WAUKESHA],2025/08/09 05:00:00+00
654249.2868,330236.0824,2142431,Southeast,Washington,IH 41,Southbound,Median,43.43299394,-88.34125624,73.1999969,IH 41 SB MP 73.2 [WASHINGTON],2025/08/09 05:00:00+00
675097.9775,302372.380100001,2142432,Southeast,Waukesha,IH 41,Southbound,Median,43.17820642,-88.09165094,50.7999992,IH 41 SB MP 50.8 [WAUKESHA],2025/08/09 05:00:00+00
660354.997,319726.053400001,2142433,Southeast,Washington,IH 41,Southbound,Median,43.33728095,-88.26854428,65.5999985,IH 41 SB MP 65.6 [WASHINGTON],2025/08/09 05:00:00+00
659836.4592,320235.0582,2142434,Southeast,Washington,IH 41,Northbound,Median,43.34195888,-88.2748085,66,IH 41 NB MP 66.0 [WASHINGTON],2025/08/09 05:00:00+00
655680.6989,326975.3861,2142435,Southeast,Washington,IH 41,Northbound,Median,43.40338795,-88.32438725,71,IH 41 NB MP 71.0 [WASHINGTON],2025/08/09 05:00:00+00
660835.9422,319265.221799999,2142436,Southeast,Washington,IH 41,Southbound,Right,43.33304332,-88.26273216,65.1999969,IH 41 SB MP 65.2 [WASHINGTON],2025/08/09 05:00:00+00
502709.5817,263142.7849,2142437,Southwest,Iowa,USH 151,Southbound,Right,42.84066423,-90.2115847,36,USH 151 SB MP 36.0 [IOWA],2025/08/09 05:00:00+00
505559.8302,267824.873299999,2142438,Southwest,Iowa,USH 151,Southbound,Right,42.88288682,-90.17682636,40,USH 151 SB MP 40.0 [IOWA],2025/08/09 05:00:00+00
484303.5131,251051.9727,2142439,Southwest,Grant,USH 151,Southbound,Right,42.73114672,-90.43605214,21,USH 151 SB MP 21.0 [GRANT],2025/08/09 05:00:00+00
472900.7604,242597.664000001,2142440,Southwest,Grant,USH 151,Southbound,Right,42.65439965,-90.57463469,11,USH 151 SB MP 11.0 [GRANT],2025/08/09 05:00:00+00
478831.8089,248851.954299999,2142441,Southwest,Grant,USH 151,Southbound,Right,42.71106118,-90.50272968,17,USH 151 SB MP 17.0 [GRANT],2025/08/09 05:00:00+00
481886.0848,249115.1416,2142442,Southwest,Grant,USH 151,Southbound,Right,42.71358887,-90.46545103,19,USH 151 SB MP 19.0 [GRANT],2025/08/09 05:00:00+00
485645.6242,251708.552100001,2142443,Southwest,Lafayette,USH 151,Northbound,Right,42.73712063,-90.41969782,22,USH 151 NB MP 22.0 [LAFAYETTE],2025/08/09 05:00:00+00
472612.2795,241065.8848,2142444,Southwest,Grant,USH 151,Southbound,Right,42.64058799,-90.5780264,10,USH 151 SB MP 10.0 [GRANT],2025/08/09 05:00:00+00
478776.8203,248824.8716,2142445,Southwest,Grant,USH 151,Northbound,Right,42.71081434,-90.50339918,17,USH 151 NB MP 17.0 [GRANT],2025/08/09 05:00:00+00
477327.7611,248369.784700001,2142446,Southwest,Grant,USH 151,Southbound,Right,42.70663707,-90.52105947,16,USH 151 SB MP 16.0 [GRANT],2025/08/09 05:00:00+00
474948.848,244358.9345,2142447,Southwest,Grant,USH 151,Northbound,Right,42.67038287,-90.54978786,13,USH 151 NB MP 13.0 [GRANT],2025/08/09 05:00:00+00
474925.5803,244368.5393,2142448,Southwest,Grant,USH 151,Southbound,Right,42.670468,-90.55007256,13,USH 151 SB MP 13.0 [GRANT],2025/08/09 05:00:00+00
472639.7155,241072.605599999,2142449,Southwest,Grant,USH 151,Northbound,Right,42.6406502,-90.57769232,10,USH 151 NB MP 10.0 [GRANT],2025/08/09 05:00:00+00
475908.1268,245631.5765,2142450,Southwest,Grant,USH 151,Northbound,Right,42.68189886,-90.53818056,14,USH 151 NB MP 14.0 [GRANT],2025/08/09 05:00:00+00
475887.6503,245646.3199,2142451,Southwest,Grant,USH 151,Southbound,Right,42.68203045,-90.53843163,14,USH 151 SB MP 14.0 [GRANT],2025/08/09 05:00:00+00
490407.0839,251819.501700001,2142452,Southwest,Lafayette,USH 151,Northbound,Right,42.73831815,-90.36153542,25,USH 151 NB MP 25.0 [LAFAYETTE],2025/08/09 05:00:00+00
483254.9613,249841.7051,2142453,Southwest,Grant,USH 151,Southbound,Right,42.72019848,-90.44878182,20,USH 151 SB MP 20.0 [GRANT],2025/08/09 05:00:00+00
484322.2509,251035.4124,2142454,Southwest,Grant,USH 151,Northbound,Right,42.73099846,-90.4358222,21,USH 151 NB MP 21.0 [GRANT],2025/08/09 05:00:00+00
490410.569,251871.977600001,2142455,Southwest,Lafayette,USH 151,Southbound,Right,42.73879085,-90.36149559,25,USH 151 SB MP 25.0 [LAFAYETTE],2025/08/09 05:00:00+00
476692.1576,247024.6138,2142456,Southwest,Grant,USH 151,Southbound,Right,42.694488,-90.52871755,15,USH 151 SB MP 15.0 [GRANT],2025/08/09 05:00:00+00
480360.6676,249029.477,2142457,Southwest,Grant,USH 151,Northbound,Right,42.71274023,-90.48407295,18,USH 151 NB MP 18.0 [GRANT],2025/08/09 05:00:00+00
487231.8556,251929.7312,2142458,Southwest,Lafayette,USH 151,Northbound,Right,42.73918178,-90.40033256,23,USH 151 NB MP 23.0 [LAFAYETTE],2025/08/09 05:00:00+00
480353.6018,249055.1445,2142459,Southwest,Grant,USH 151,Southbound,Right,42.71297101,-90.48416103,18,USH 151 SB MP 18.0 [GRANT],2025/08/09 05:00:00+00
476717.4297,247021.0593,2142460,Southwest,Grant,USH 151,Northbound,Right,42.69445741,-90.52840876,15,USH 151 NB MP 15.0 [GRANT],2025/08/09 05:00:00+00
481884.2308,249088.818299999,2142461,Southwest,Grant,USH 151,Northbound,Right,42.71335173,-90.4654719,19,USH 151 NB MP 19.0 [GRANT],2025/08/09 05:00:00+00
472277.3661,239497.818499999,2142462,Southwest,Grant,USH 151,Southbound,Right,42.62644654,-90.58197982,9,USH 151 SB MP 9.0 [GRANT],2025/08/09 05:00:00+00
